 name	ra	dec	gal_b2	gal_l2	hard_hs	hard_hm	hard_ms	var_inter_prob_b	var_inter_sigma_b	var_intra_prob_b	var_inter_index_b	kp_intra_prob_b	var_intra_index_b	h-csc	b-csc	m-csc	s-csc	u-csc	0p3_8_csc	FUV	NUV	u-sdss	g-sdss	r-sdss	i-sdss	z-sdss	W1	W2	W3	W4	4.5 microns (IRAC)	8.0 microns (IRAC)	24 microns (MIPS)	J	H	K	3.6 microns (IRAC)	5.8 microns (IRAC)	G	Bp	Rp	B-R	G-J	G-W2	Bp-H	Bp-W3	Rp-K	J-H	J-W1	W1-W2
2CXO J095753.4+024735	J09:57:53.4	02:47:35	7.33825705940555	6.54654312912332	3.28125000000001	4.625	3.65624999999998	10	0	4.59497527182446	6.25	6.37765498658593	0	1.01623928825102E-07	0.00563396411585066	0.00248140323060476	0.00470050158962054	0.00792054212512923	0.00402028697807358	0.538111924504736	0.596275870818428	9.13463304343568	9.55926429869549	8.2443729903537	8.97527664650952	9.72316032061224	3.38935509295749	4.06488192901202	7.69955367629786	0.535431462622817	6.52375290948583E-06	5.51766463639747E-05	1.25697885132846E-07	7.46558108621344	6.66272916272916	1.92215196714224	3.64027356842749E-06	1.20769779917664E-05	7.98957012810836	7.40263591978097	4.78475704703958	2.04603094112176	0	0	0	0	0	3.04448848493133	3.7702847761571	5.16040100250627
2CXO J163618.1+410038	J16:36:18.1	41:00:38	7.35729098400425	1.80508476308854	4.27499999999998	5.76249999999998	3.55624999999998	10	0	4.66725148114696	6.25	5.70837340051986	0	1.65019762749742E-09	0.00328159684673267	0.00145732327033872	0.00244335575654716	0.00445777885371241	0.00177648317993426	0.538111924504736	0.596275870818428	5.51118439041909	3.89164295840985	6.39163987138264	7.73705212061376	8.21779021060108	3.38935509295749	4.06488192901202	7.69955367629786	0.535431462622817	1.7166551957063E-05	0.000146313271799906	0.000700283867723925	7.46558108621344	6.66272916272916	1.92215196714224	1.44812353010603E-05	3.02439568874647E-05	7.98957012810836	7.40263591978097	4.78475704703958	2.04603094112176	0	0	0	0	0	3.04448848493133	3.7702847761571	5.16040100250627
2CXO J222906.0-080251	J22:29:06.0	-08:02:51	2.12949974796367	1.5490233277841	3.08125000000001	7.06874999999999	1.64375000000002	10	0	4.41304457128418	6.25	6.90868156971496	0	3.46697566345817E-10	0.0181807805582214	0.00433269770307425	0.00550626412525237	0.0359902481200447	0.00288453443827466	0.538111924504736	0.596275870818428	5.91999314366871	8.57236648048945	6.34430868167203	7.79036570817393	8.15917556853594	8.16426352635727	7.03981391098465	7.10453370918487	0.535431462622817	2.07316768320924E-05	0.000124233291562688	0.000437847633213571	7.46558108621344	6.66272916272916	1.92215196714224	5.18730753354136E-05	3.61497636959499E-05	7.98957012810836	7.40263591978097	4.78475704703958	2.04603094112176	0	0	0	0	0	3.04448848493133	3.7702847761571	6.82355889724311
2CXO J082515.0+115752	J08:25:15.0	11:57:52	6.45780747552667	5.90243239524618	10	10	0	10	0	4.01214143870687	6.25	0.379081441877528	0	3.46697566345817E-10	0.0116772955607959	0.0015945867549245	0.0052245965353202	0.0248835907720454	0.00332775494161082	0.538111924504736	0.596275870818428	8.62530557607467	8.43839500651779	5.94340836012862	7.55604919988482	7.93993593552969	7.78756548750522	7.16027331824129	7.0425182053089	0.537859134136466	2.07316768320924E-05	0.000124233291562688	0.000437847633213571	7.46558108621344	6.66272916272916	1.92215196714224	5.18730753354136E-05	3.61497636959499E-05	8.20807346357712	7.63064403307852	7.81612882133542	2.67960640747391	0	4.09237798916878	0	4.69792440673102	0	3.04448848493133	3.7702847761571	5.71829573934837
2CXO J151451.7+311654	J15:14:51.7	31:16:54	8.26749057566238	1.36723751874823	1.98749999999999	2.575	4.23750000000002	10	0	5.32818620747994	6.25	4.46916331132873	1	1.19262401859282E-08	0.0184290423358178	0.0113031446200405	0.0343375802660092	0.00821979849324455	0.0218876135188126	0.538111924504736	0.596275870818428	4.42372127380841	7.98443342816636	4.99691318327974	6.99576288617384	7.3459626338904	7.11646344290417	6.12473779310058	5.93892412497064	0.491607960612597	2.07316768320924E-05	0.000124233291562688	0.000437847633213571	8.77611090011394	8.9028539028539	2.51452388672719	5.18730753354136E-05	3.61497636959499E-05	7.47142804284887	6.82125040586531	7.19119755521116	2.27229167385639	3.47531550675822	4.2736319693328	2.79654968261116	4.67220004794205	3.6907316740164	3.72445841590925	5.15396434509903	6.76641604010025
2CXO J095915.0+014926	J09:59:15.0	01:49:26	7.32257354486099	6.58335644170595	4.6375	4.9125	4.73125	6.0459913685083	0.000756537630050628	8.08288802337298	5	9.52736213646422	2	2.59128849212093E-09	0.00278663796660889	0.000634723978419046	0.00272263771860682	0.00458761450240009	0.00197593240643553	0.538111924504736	0.596275870818428	8.49776965175551	9.30830566048508	7.97663451232583	8.59613037695229	9.02120504978766	9.07320691733507	7.97877422168685	7.72280949025135	0.539193905559099	3.13413031938591E-05	0.000135161421381756	0.000170285718276123	7.46558108621344	6.66272916272916	3.08595438824038	2.51311514328996E-05	3.92311123774047E-05	7.98957012810836	7.40263591978097	4.78475704703958	2.04603094112176	0	0	0	0	0	3.04448848493133	3.7702847761571	6.52280701754386
2CXO J004314.0-092145	J00:43:14.0	-09:21:45	0.966247298842576	3.23124821534419	5.26875	10	0	10	0	4.98792648148006	6.25	6.32004709883448	0	3.46697566345817E-10	0.0119832764631555	0.00192735986492781	0.00230916604668396	0.028108759035538	0.00969904967706816	8.03688894285813	8.64289572476736	5.45949954611787	7.99543686852554	4.53844740468535	6.53967078624613	6.78298626568741	6.47155640038945	6.11850713410455	6.33004463237022	0.513806373936662	2.07316768320924E-05	0.000124233291562688	0.000437847633213571	8.11265666540068	8.16575316575317	2.32760484219628	5.18730753354136E-05	3.61497636959499E-05	9.27207719105838	7.17795439877819	7.08944224227272	3.30188890284054	7.56465262701413	6.73182638527518	4.15058571229026	4.75400273720192	4.67266772507299	3.9465591471332	4.85708572751573	5.38696741854637
2CXO J125955.6+124153	J12:59:55.6	12:41:53	9.20988260631992	8.64418933401076	3.55000000000001	5.04375	3.53125000000001	8.3072605654517	0.00133929032543073	5.5873744522413	6.25	8.17167082472226	1	3.46697566345817E-10	0.00566890852572242	0.00269600283886471	0.0053212107482257	0.00631379425381254	0.00385407928932252	8.22365818964022	8.7107600691234	6.25681041835864	8.67032360581177	6.82443729903537	8.11551277304702	8.49999275288798	3.38935509295749	4.06488192901202	7.69955367629786	0.535431462622817	7.45596797073386E-05	0.00105926110650552	0.000437847633213571	7.46558108621344	6.66272916272916	1.92215196714224	5.18730753354136E-05	3.61497636959499E-05	8.80611534268529	8.06179023678483	8.38251939872591	2.37028399585018	0	0	0	0	0	3.04448848493133	3.7702847761571	5.16040100250627
2CXO J151451.3+552602	J15:14:51.3	55:26:02	7.88384720011741	2.51415674628869	3.45624999999998	4.93125	3.53125000000001	4.9727909346767	0.000989138823881937	3.99075977055818	3.75	7.19818449329864	0	7.29177766909686E-09	0.0107221483576346	0.00489297785291847	0.0102577511159447	0.012411840567909	0.00861869970018626	0.538111924504736	0.596275870818428	6.32512886229793	8.74867979105017	7.15691318327975	8.25480274795343	8.77793399330367	8.99531735360935	7.85831481443021	8.23678646934461	0.551233722955202	4.77777431132252E-05	0.000782655443584438	0.00137220191270282	7.46558108621344	6.66272916272916	1.92215196714224	5.18730753354136E-05	3.61497636959499E-05	8.99998686400937	8.24807840315553	8.678916080308	2.12016818275683	0	4.3722317542205	0	4.45680772957124	0	3.04448848493133	3.7702847761571	6.64511278195489
2CXO J003345.4-433930	J00:33:45.4	-43:39:30	0.912654369111134	8.72174924364038	6.80625	8.57499999999999	2.44375000000001	10	0	3.24211907521978	6.25	0.596241402142599	0	3.46697566345817E-10	0.00726849323392155	0.00180392577132163	0.00181991167253053	0.0145210989205635	0.00252164765116818	0.538111924504736	0.596275870818428	5.51118439041909	3.89164295840985	6.39163987138264	7.73705212061376	8.21779021060108	9.01455793036302	7.99227398284492	7.87221047686164	0.548689594874478	3.338528308622E-05	0.000273864049838803	0.00068610793956725	7.46558108621344	6.66272916272916	2.94544422827497	1.9059660646325E-05	3.31326376531012E-05	7.98957012810836	7.40263591978097	4.78475704703958	2.04603094112176	0	0	0	0	0	3.04448848493133	3.7702847761571	6.36340852130326
