#Column	usrid	(I7)	User Table identifier	(cross_match.usrid)	"[""""]"	[meta.id]	
#Column	separation	(F9.2)	Distance from master source to user source	(cross_match.separation)	"[""arcsec""]"	[pos.angDistance]	
#Column	probability	(F9.2)	Probability that master source and user source are a match	(cross_match.probability)	"[""""]"	[stat.probability]	
#Column	name	(A22)	Source name in the format '2CXO Jhhmmss.s{+|-}ddmmss[X]'	(master_source.name)	"[""""]"	[]	
#Column	acis_time	(F9.1)	Total livetime for all ACIS imaging observations contributing to the Master Sources Table record of the source	(master_source.acis_time)	"[""s""]"	[]	
#Column	acis_num	(I4)	Total number of ACIS imaging observations contributing to the Master Sources Table record of the source	(master_source.acis_num)	"[""""]"	[]	
#Column	hrc_num	(I4)	Total number of HRC imaging observations contributing to the Master Sources Table record of the source	(master_source.hrc_num)	"[""""]"	[]	
#Column	hrc_time	(F9.1)	Total livetime for all HRC imaging observations contributing to the Master Sources Table record of the source	(master_source.hrc_time)	"[""s""]"	[]	
usrid	separation	probability	name	acis_time	acis_num	hrc_num	hrc_time
143	0.15	0.92	2CXO J142530.1+335217	19261.1	3	0	         
144	1.12	0	2CXO J162143.7+355534	11390.5	1	0	         
145	1.08	0	2CXO J143205.5+575516	4732.3	1	0	         
146	1.52	0.05	2CXO J022804.3+010657	1725.1	1	0	         
147	1.25	0.03	2CXO J091227.9+531545	18782.2	1	0	         
148	0.89	0.04	2CXO J003504.5-434106	53423.1	2	0	         
149	1.6	0	2CXO J101108.3+002908	4837.3	1	0	         
150	0.93	0	2CXO J033255.5-274751	5820073.1	83	0	         
151	1.08	0	2CXO J104748.7+592328	65396.6	1	0	         
152	1.28	0.35	2CXO J122506.4+483434	3108.9	1	0	         
153	0.95	0.21	2CXO J003335.3-433015	66186.7	2	0	         
154	1.5	0	2CXO J030044.3-003820	49543.8	1	0	         
155	1.38	0	2CXO J092014.0+453156	10047.1	1	0	         
156	0.17	0.55	2CXO J123629.4+621513	1797232	17	0	         
157	1.07	0	2CXO J080907.5+441641	1966.3	1	0	         
158	0.89	0.01	2CXO J140708.9+341231	19508.3	1	0	         
159	1.2	0	2CXO J160421.7+432354	46102.5	2	0	         
160	1.61	0	2CXO J120534.5-074121	38964.8	2	0	         
161	1.15	0.06	2CXO J160149.9+401715	8921.5	1	0	         
162	1.36	0.19	2CXO J082211.2+212229	29774.9	1	0	         
163	0.86	0	2CXO J100441.0+410943	201286.3	9	0	         
164	1.46	0	2CXO J120919.6+295729	38221.7	2	0	         
165	0.2	0.59	2CXO J123612.9+621929	1252309.8	11	0	         
166	1.64	0	2CXO J100013.6+013034	98989.3	2	0	         
167	0.66	0.03	2CXO J172858.1+603512	2480.7	1	0	         
168	0.92	0	2CXO J141540.0+112406	88861.9	1	0	         
169	0.88	0	2CXO J202206.7+613658	4784	1	0	         
170	0.96	0	2CXO J094629.6+545155	16019.6	1	0	         
171	0.34	0.42	2CXO J143651.5+343602	18352.5	4	0	         
172	1.44	0.05	2CXO J033444.2-010844	7944.4	1	0	         
173	0.29	0.31	2CXO J134440.2+555648	44193.4	1	0	         
174	1.56	0	2CXO J021429.2-051744	4034.7	1	0	         
175	0.27	0.56	2CXO J142414.1+421400	5881.8	1	0	         
176	1.15	0.07	2CXO J105307.3+571504	4698.1	1	1	124531.5
177	0.91	0	2CXO J152424.5+095829	50873.2	1	0	         
178	1.19	0	2CXO J001854.8+162952	67406.6	1	0	         
179	0.94	0.42	2CXO J145725.1+223131	7067.4	1	0	         
180	0.38	0.27	2CXO J112019.6+130320	49540.6	1	0	         
181	1.6	0.5	2CXO J002637.4+165953	6963.4	1	0	         
182	1.64	0.64	2CXO J162131.4+152940	15762.6	1	0	         
183	1.1	0	2CXO J095929.8+633359	1526	1	0	         
184	0.22	0.5	2CXO J152832.4+285751	4297.2	1	0	         
185	0.95	0	2CXO J142610.5+441124	15349.9	2	0	         
186	0.93	0	2CXO J095915.4+020058	194825.5	4	0	         
187	0.45	0.12	2CXO J132106.3+003714	17800.1	1	0	         
188	1.39	0	2CXO J033514.4-150606	4952.3	1	0	         
189	1.37	0	2CXO J002301.4-275238	6581.2	1	0	         
190	0.38	0.32	2CXO J023123.8+004426	17322.2	2	0	         
191	1.38	0	2CXO J133701.3-024630	4691.8	1	0	         
192	0.87	0.01	2CXO J162919.9+231919	9946.2	1	0	         
193	0.16	0.6	2CXO J100711.8+053209	1030	1	0	         
194	0.82	0.55	2CXO J083846.2+441923	19818.4	1	0	         
195	1.18	0	2CXO J104603.1+071907	9992.3	1	0	         
196	0.9	0.01	2CXO J232817.6+001946	8838.8	1	0	         
197	0.84	0.1	2CXO J125732.8+473223	37038.2	1	0	         
198	0.39	0.19	2CXO J144920.7+422101	4303.2	1	0	         
199	0.76	0.03	2CXO J100231.5+014256	144296.6	4	0	         
200	1.27	0.53	2CXO J081426.4+364712	19775	2	0	         
201	0.22	0.9	2CXO J134352.7-003452	9626.5	1	0	         
202	0.84	0	2CXO J095920.9+020031	194825.5	4	0	         
203	0.29	0.32	2CXO J091848.6+211717	2057.6	1	0	         
204	0.09	0.78	2CXO J090334.9+502819	17940.9	1	0	         
205	0.1	0.76	2CXO J044236.2+020326	43631.4	1	0	         
206	0.72	0.07	2CXO J105039.6+572336	14088.1	3	0	         
207	1.6	0	2CXO J034313.7+010336	7930.2	1	0	         
208	0.86	0.02	2CXO J123411.7+615832	6142	1	0	         
209	0.17	0.56	2CXO J083454.9+553421	105038.1	2	0	         
209	1.67	0.01	CXO J083455.0+553420X	105038.1	2	0	         
210	0.81	0.01	2CXO J100258.2+015908	244808.2	6	0	         
211	0.68	0.04	2CXO J003502.5-433419	33676.4	2	0	         
212	1.55	0	2CXO J135547.6+181957	50617	2	0	         
213	0.91	0	2CXO J130905.6+113802	3627.1	1	0	         
214	0.29	0.37	2CXO J021340.6+134756	3067.5	1	0	         
215	1.13	0.06	2CXO J142922.8+343030	64060.2	3	0	         
216	1.29	0	2CXO J084902.2+450004	186616.7	2	0	         
217	1	0	2CXO J212630.7-460547	6473.1	1	0	         
218	0.32	0.37	2CXO J112108.5+232151	71249.4	1	0	         
219	0.36	0.22	2CXO J150842.2+332805	31317	1	0	         
220	0.24	0.72	2CXO J093531.3+612902	49319.5	1	0	         
221	0.2	0.56	2CXO J103429.6+575217	150974.5	3	0	         
222	0.94	0	2CXO J004610.3+010643	11095.9	1	0	         
223	0.88	0.01	2CXO J100132.8+015759	244738.4	7	1	79298.9
224	1.06	0.08	2CXO J094951.0+580519	3904.2	1	0	         
225	1.14	0.12	2CXO J143228.3-005827	21415	1	0	         
226	0.97	0.05	2CXO J003630.4-433709	39752.6	2	0	         
227	0.3	0.37	2CXO J100022.7+024956	148573.8	4	0	         
228	0.36	0.3	2CXO J163909.1+282447	1542	1	0	         
229	0.96	0	2CXO J033151.8-280025	1076901.1	13	0	         
230	1.41	0.12	2CXO J093605.4+232604	4900.4	1	0	         
231	0.44	0.17	2CXO J095931.0+021332	235209.3	5	0	         
232	1.59	0	2CXO J133124.4+110051	30692.8	1	0	         
233	0.87	0.01	2CXO J145203.0+430542	55268.7	3	0	         
234	1.46	0	2CXO J093455.5+051409	5601.9	1	0	         
235	1.22	0.24	2CXO J143323.6+345444	9324.6	2	0	         
236	0.62	0.06	2CXO J093845.6+005926	1393.3	1	0	         
237	1.3	0	2CXO J095759.4+020436	95908.2	2	0	         
238	0.65	0.03	2CXO J125007.3+725228	4931.9	1	0	         
239	0.54	0.26	2CXO J171731.9+670934	51730.2	1	0	         
240	0.8	0.04	2CXO J143219.5+341728	9131.9	2	0	         
241	0.92	0	2CXO J085742.6-771931	4962.2	1	0	         
242	0.92	0.36	2CXO J022735.8+003524	9062.2	1	0	         
243	0.86	0.01	2CXO J135607.3+413615	2013.1	1	0	         
244	0.92	0	2CXO J114039.7-262844	39273	1	0	         
245	1.13	0.28	2CXO J105136.4+402431	4081.3	1	0	         
246	0.96	0	2CXO J142123.9+463318	27539.7	2	0	         
247	0.54	0.07	2CXO J114427.5+672203	3134.1	1	0	         
248	0.21	0.77	2CXO J143627.8+343417	9128.9	2	0	         
249	0.27	0.87	2CXO J142644.3+333053	44092.6	3	0	         
250	1.28	0	2CXO J010514.4+000226	14960.9	1	0	         
251	0.26	0.38	2CXO J111452.8+531531	38429.9	4	0	         
252	0.87	0	2CXO J083722.4+582501	3771.8	1	0	         
253	1.66	0	2CXO J100248.8+013854	49528.9	2	0	         
254	0.4	0.17	2CXO J214018.3-234056	91607.6	2	0	         
255	0.31	0.28	2CXO J083745.0+651335	3054.6	1	0	         
256	0.82	0	2CXO J015841.4-432503	104369.4	10	0	         
257	0.87	0.01	2CXO J095847.8+690532	30761.2	2	1	7141.5
258	0.21	0.51	2CXO J100231.9+023507	161860.6	7	0	         
259	1.69	0	2CXO J095755.4+022400	97420.4	2	0	         
260	0.84	0.21	2CXO J092905.4+282357	4983.9	1	0	         
261	1.55	0.14	2CXO J110653.3+035010	10031.3	1	0	         
262	0.32	0.34	2CXO J161344.9+283014	4982.5	1	0	         
263	1.02	0.38	2CXO J024403.5+011322	5737.6	1	0	         
264	0.35	0.31	2CXO J090948.6+105634	34459.6	2	0	         
265	1.04	0	2CXO J123704.6+621651	1797275.3	17	0	         
266	0.37	0.33	2CXO J233722.0+002239	26008.7	2	0	         
267	1.21	0	2CXO J133442.7+375914	55593.2	2	0	         
268	0.91	0.03	2CXO J125250.2-091528	127850.4	3	0	         
269	0.64	0.11	2CXO J083658.7+530950	6937.9	1	0	         
270	0.29	0.67	2CXO J204640.1-363148	3898.6	1	0	         
271	1.72	0.11	2CXO J023115.3+005141	8663.9	1	0	         
272	1.44	0	2CXO J100041.5+013658	148498	3	0	         
273	0.21	0.47	2CXO J000230.7+004959	5671	1	0	         
274	0.14	0.63	2CXO J144300.6+520137	14950.7	1	0	         
275	0.64	0.15	2CXO J103434.8+574215	231786.6	5	0	         
276	1.28	0	2CXO J121843.3+153617	1556.5	1	0	         
277	1.01	0	2CXO J161245.6+511816	3224.1	1	0	         
278	0.21	0.48	2CXO J104947.4+330026	18512.5	2	0	         
279	1.67	0	2CXO J014040.8-075848	10010.7	1	0	         
280	1.59	0	2CXO J100137.6+022843	278184.4	10	0	         
281	0.47	0.11	2CXO J022224.4+422138	169298.5	2	0	         
282	0.4	0.2	2CXO J102712.6+283123	9632.1	1	0	         
283	0.88	0.23	2CXO J100204.8+013355	93984	3	0	         
284	1.15	0.02	2CXO J125900.1-015619	4713.6	1	0	         
285	0.18	0.54	2CXO J123248.3+134945	4607.6	1	0	         
286	1.02	0.01	2CXO J142433.8+461543	99873.5	3	0	         
287	1.49	0	2CXO J094057.1+032401	1957.2	1	0	         
288	0.35	0.25	2CXO J020847.2+002014	7032.8	2	0	         
289	0.29	0.32	2CXO J094124.0+394442	7927.2	1	0	         
290	0.4	0.85	2CXO J104228.0+262141	2922.5	1	0	         
291	1.37	0.01	2CXO J144024.8+033608	23143.9	1	0	         
292	0.83	0.01	2CXO J092633.6+362450	2717.2	1	0	         
293	1.23	0	2CXO J033158.8-273516	501018.5	6	0	         
294	0.34	0.31	2CXO J003536.8-433615	39752.6	2	0	         
295	1.28	0	2CXO J110633.5-182125	150260.8	12	0	         
296	1.47	0	2CXO J103059.1+350704	63298.3	2	0	         
297	0.32	0.28	2CXO J131458.4+560342	6066.2	1	0	         
298	0.43	0.15	2CXO J033930.6-354847	61605.2	2	0	         
299	0.79	0.01	2CXO J161027.4+130806	14872.2	1	0	         
300	1.26	0	2CXO J155229.9+200721	45794.3	2	0	         
301	0.83	0.01	2CXO J231954.0+003641	74737.4	4	0	         
302	1.3	0.18	2CXO J033205.2-280324	520746.6	5	0	         
303	1.32	0	2CXO J135409.0+334115	5040.1	1	0	         
304	0.79	0.02	2CXO J154140.9+662237	35781.1	2	0	         
305	0.82	0	2CXO J093856.9+412821	14669.9	1	0	         
306	1.39	0	2CXO J115115.3+003827	3686.6	1	0	         
307	0.21	0.52	2CXO J224731.7+033549	48965.6	1	0	         
308	1.4	0	2CXO J033259.1-273611	240092	2	0	         
309	1.49	0.25	2CXO J141420.0-024105	7649.1	1	0	         
310	0.27	0.83	2CXO J111853.5+074945	28760.7	1	0	         
311	0.86	0.16	2CXO J121711.0+583525	6240	1	0	         
312	1.03	0.62	2CXO J115011.7+515917	33607.3	1	0	         
313	0.33	0.33	2CXO J095151.5+594430	5124.7	1	0	         
314	0.97	0.15	2CXO J023146.5+002740	8464.9	1	0	         
315	0.81	0	2CXO J231836.9+304836	9219.3	1	0	         
316	1.28	0	2CXO J095755.0+024806	49435.3	1	0	         
317	0.45	0.18	2CXO J130745.4+363812	39537.7	1	0	         
318	0.93	0.01	2CXO J160207.6+380743	1028.8	1	0	         
319	1.13	0	2CXO J133424.5+374615	59799.4	2	0	         
320	0.27	0.35	2CXO J160918.9+082416	9537.1	1	0	         
321	0.76	0.01	2CXO J173801.1+583012	8489.2	2	0	         
322	0.61	0.42	2CXO J105154.5+573437	         	0	1	124531.5
323	0.57	0.21	2CXO J103456.8+573312	157458.7	3	0	         
324	1.44	0	2CXO J053850.8-283757	14776.9	1	0	         
325	0.61	0.05	2CXO J150629.5+554547	35981.4	2	0	         
325	1.01	0.27	CXO J150629.3+554546X	35981.4	2	0	         
326	1.22	0	2CXO J100131.8+024325	198257.2	4	0	         
327	0.35	0.31	2CXO J145149.1+430125	17677.3	1	0	         
328	1.59	0	2CXO J124406.9+113523	38147.4	1	0	         
329	0.34	0.24	2CXO J170124.6+395437	3592.3	1	0	         
330	0.76	0.04	2CXO J033106.0+440327	95326.3	1	0	         
331	0.72	0.02	2CXO J145710.8+221844	108804	3	0	         
332	0.32	0.39	2CXO J083139.1+524205	9134.1	1	0	         
333	0.51	0.41	2CXO J103154.8+574521	76998.4	2	0	         
334	0.56	0.29	2CXO J171517.5+601637	59339.8	2	0	         
335	1.01	0	2CXO J084840.3+445801	186600.6	2	0	         
336	1.15	0.11	2CXO J152741.4+203753	3920.9	1	0	         
337	0.72	0.07	2CXO J135714.6+052331	46501.3	1	0	         
338	0.2	0.51	2CXO J033235.7-274916	5820130.5	83	0	         
339	0.76	0.41	2CXO J214019.1-234836	96078.6	2	0	         
340	0.39	0.2	2CXO J095928.7+021738	280920.6	7	0	         
341	0.98	0	2CXO J100057.5+684230	         	0	1	9779.6
342	0.46	0.23	2CXO J122523.2+245849	15569.8	1	0	         
343	0.4	0.17	2CXO J142917.2+342130	42806.3	4	0	         
344	1.46	0.02	2CXO J042155.0+324725	18792.5	1	0	         
345	0.24	0.54	2CXO J003328.6-433231	29575.9	1	0	         
346	0.74	0.01	2CXO J161111.6+513131	3063.3	1	0	         
347	0.45	0.13	2CXO J084922.5+445357	186616.7	2	0	         
348	1.19	0	2CXO J084837.9+445352	186619.7	2	0	         
349	0.23	0.49	2CXO J113445.8+431858	5969.1	1	0	         
350	0.29	0.87	2CXO J143421.3+340446	4612.9	1	0	         
351	1.15	0	2CXO J115023.5+281907	1538.9	1	0	         
352	0.94	0.01	2CXO J225257.6-084140	9814	1	0	         
353	0.49	0.14	2CXO J150422.1-024556	52456.6	2	0	         
354	0.35	0.47	2CXO J233739.1+002656	26011.8	2	0	         
355	1.33	0.12	2CXO J101802.9-012914	9917.4	4	0	         
356	1.44	0	2CXO J095848.7+013631	98280.8	2	0	         
357	1.32	0	2CXO J095744.4+330820	6034.6	1	0	         
358	0.27	0.37	2CXO J053359.9-703128	59198.6	1	0	         
359	0.85	0	2CXO J062652.7+820440	47328.9	1	0	         
360	0.71	0.47	2CXO J005245.4-262422	55218.2	1	0	         
361	0.73	0.1	2CXO J111108.0+354016	19449.2	1	0	         
362	0.77	0.02	2CXO J003414.9-433847	33663.6	2	0	         
363	0.28	0.35	2CXO J095944.6+022626	188452.3	7	0	         
364	0.35	0.61	2CXO J002410.9-015647	36539.3	2	0	         
365	1.15	0.2	2CXO J143728.7+344547	4613.1	1	0	         
366	0.18	0.73	2CXO J063020.5+815937	47322.5	1	0	         
367	1.5	0	2CXO J002317.0-275319	6581.2	1	0	         
368	0.36	0.25	2CXO J122556.6+003535	2884.8	1	0	         
369	0.2	0.53	2CXO J005424.8+124215	19591.8	1	0	         
370	1.16	0.45	2CXO J161434.6+470418	3914.6	1	0	         
371	0.43	0.41	2CXO J214020.2-233452	91607.6	2	0	         
