name,class,gal_b2,gal_l2,hard_hs,hard_hm,hard_ms,var_inter_prob_b,var_inter_sigma_b,var_intra_prob_b,var_inter_index_b,kp_intra_prob_b,var_intra_index_b,h-csc,b-csc,m-csc,s-csc,u-csc,0p3_8_csc,FUV,NUV,u-sdss,g-sdss,r-sdss,i-sdss,z-sdss,W1,W2,W3,W4,4.5 microns (IRAC),8.0 microns (IRAC),24 microns (MIPS),J,H,K,3.6 microns (IRAC),5.8 microns (IRAC),G,Bp,Rp,B-R,G-J,G-W2,Bp-H,Bp-W3,Rp-K,J-H,J-W1,W1-W2
2CXO J130436.2+533646,AGN,8.53781882959165,3.29356587683977,10,10,7.98749999999998,10,0,2.89043526761216,6.25,5.81982473474931,0,2.55702441727674E-07,0.0431140516336808,0.0195720357677269,0.00974584442479615,0.104897029592294,0.00886801123331285,7.45621552232592,8.23673805189638,5.56155743664161,8.28703823270747,5.41754708314194,7.09531449257477,7.45758886512297,6.49357874727618,5.69939147230472,6.11721869861405,0.494062506718648,2.07316768320924E-05,0.000124233291562688,0.000437847633213571,8.47488606152677,8.59407484407484,2.34733030696066,5.18730753354136E-05,3.61497636959499E-05,8.1387473571669,7.26073939639311,7.35285214973629,2.89391543131764,5.0893639985106,5.66831967300119,3.70878385762557,4.99761506370397,4.99080651727431,3.75042711679082,5.31887352402602,6.44611528822055
2CXO J123704.1+620754,AGN,8.06358192594193,3.49590719304223,3.53749999999998,5.40625,3.18125000000001,9.99977375076835,0.00157320949913186,8.02187202408627,7.5,9.53130197168911,2,5.04839990218196E-09,0.00494830611538695,0.00243801690596287,0.00359984274875101,0.00608423467691459,0.0029953395641087,0.538111924504736,0.596275870818428,7.97048512625036,9.340656726643,8.04094319399786,8.86626352379777,9.75301842215877,8.68607724048403,7.79642360173627,7.93587033121917,0.578932469524212,2.00312950316784E-05,0.000174776953612979,0.000855925503053411,7.46558108621344,6.66272916272916,1.92215196714224,1.29663785549795E-05,4.47869950035959E-05,7.98957012810836,7.40263591978097,4.78475704703958,2.04603094112176,0,0,0,0,0,3.04448848493133,3.7702847761571,6.12581453634085
2CXO J150048.6+475115,AGN,8.20349060962849,2.25339058076399,4.6625,5.63750000000001,4.03125,10,0,0.5259405707283,6.25,3.08513149740239,0,5.36455774246678E-07,0.272150840511418,0.0781858757008057,0.207233916564166,0.415549330572551,0.159673787493442,7.93945807167887,8.72991509508313,6.65839553685482,8.77879482763542,6.88745980707396,8.06244600765149,8.33214963836911,6.74231536000742,5.76419032586346,5.93352125910266,0.476665687237077,2.07316768320924E-05,0.000124233291562688,0.000437847633213571,9.39209077098367,9.42118692118692,2.62024427150886,5.18730753354136E-05,3.61497636959499E-05,8.18125510884058,7.63208811185447,7.67634338224883,2.99790721440536,3.52503520656925,5.65209364048093,3.10719363247191,5.51995504459389,3.84909717718538,3.99849654889634,6.31295910420745,6.82756892230576
2CXO J133417.5+375722,AGN,9.23712956902094,2.38546999974344,3.46875000000002,5.14375,3.34375,8.5079355913579,0.00586754280963041,2.70549978106053,6.25,8.73974300545645,0,3.70188169256501E-08,0.0415493765647964,0.0211157754313912,0.0310861404086127,0.0516694886394159,0.0235773916877817,0.538111924504736,0.596275870818428,5.17081651559611,8.32183601815465,5.87974276527331,7.60294541116459,8.13212934645544,8.14780471973666,6.88321668155102,7.04815597838854,0.5507678966869,0.000277078926580387,0.00337051240116497,0.00799469973917689,7.46558108621344,6.66272916272916,1.92215196714224,0.000104720175268091,0.000624014808110635,8.29512530714537,7.59123701732093,8.03957096196304,2.08758426308868,0,4.52764889250697,0,4.65274618410193,0,3.04448848493133,3.7702847761571,7.16591478696742
2CXO J104718.7+584857,AGN,7.88499953380401,4.12370373251857,3.73749999999997,5.3375,3.43749999999998,10,0,4.13890141359401,6.25,3.132324989421,0,4.32577546779034E-09,0.00367047075718609,0.00175110292107013,0.00334017347191116,0.00471880348683955,0.00242746329420924,8.87359053533636,9.54800674318425,6.81633602553167,9.07828006508273,7.77041800643087,8.68018703635142,9.24847448291856,3.38935509295749,4.06488192901202,7.69955367629786,0.535431462622817,2.68930337965919E-05,0.000145969404953169,0.000481569547592362,7.46558108621344,6.66272916272916,1.92215196714224,2.02766745750857E-05,3.89572741822371E-05,7.98957012810836,7.40263591978097,4.78475704703958,2.04603094112176,0,0,0,0,0,3.04448848493133,3.7702847761571,5.16040100250627
2CXO J134208.3+353915,AGN,9.25524462105082,2.06527342763149,8.35624999999999,9.03125,3.50624999999998,10,0,3.57472784379774,6.25,4.70734780537392,0,7.65829602546353E-08,0.772520019317836,0.0337501443316389,0.0799380023848969,1.80106909821327,0.119783942193188,6.93231100163064,6.9870512152661,3.18594941823213,5.8469318819757,2.45680600214362,5.26471677156609,5.44866870552085,3.38935509295749,4.06488192901202,4.39746300211417,2.7760020639687,2.07316768320924E-05,0.000151763354171998,0.000174091570909319,6.86479301177364,6.95993195993196,1.88130494307537,4.76732579812267E-06,3.61497636959499E-05,7.02072226072597,5.67744781874957,5.77242362740601,2.9039774842035,6.1502935082873,0,3.8867888521135,4.62246016972154,5.22436854296522,3.84200095674162,3.7702847761571,5.16040100250627
2CXO J094800.9+161707,AGN,7.58176711686469,6.04220035507394,5.30625,7.09375000000001,3.15624999999999,10,0,1.41839556223572,6.25,0.0787165486617408,0,6.67725163265106E-08,0.0531394463583799,0.0135988235226545,0.0291358710431773,0.0980635298805827,0.0239375083467424,8.69848731915484,8.49545104175277,5.51975480453334,8.46432343454142,6.16012861736334,7.73540663951623,8.22953053208297,8.17168158004543,7.02859872479179,7.06506929762744,0.526903258633911,2.07316768320924E-05,0.000124233291562688,0.000437847633213571,7.46558108621344,6.66272916272916,1.92215196714224,5.18730753354136E-05,3.61497636959499E-05,8.57628888796199,7.91748457711841,8.26678015538731,2.30740375316484,0,4.74414939338608,0,4.97972543442617,0,3.04448848493133,3.7702847761571,6.86666666666666
2CXO J045356.8-030225,AGN,3.46539582776659,5.59694123702233,8.99374999999999,8.55000000000002,5.81249999999998,10,0,4.04874654600779,6.25,3.04782124897274,0,1.16033581998687E-09,0.00826411336553128,0.000317315050629551,0.00144133259519161,0.0221456233791984,0.00288453443827466,0.538111924504736,0.596275870818428,5.51118439041909,3.89164295840985,6.39163987138264,7.73705212061376,8.21779021060108,3.38935509295749,4.06488192901202,7.69955367629786,0.535431462622817,2.07316768320924E-05,0.000124233291562688,0.000437847633213571,7.46558108621344,6.66272916272916,1.92215196714224,5.18730753354136E-05,3.61497636959499E-05,7.98957012810836,7.40263591978097,4.78475704703958,2.04603094112176,0,0,0,0,0,3.04448848493133,3.7702847761571,5.16040100250627
2CXO J094423.4+093827,AGN,7.3780002532933,6.26131289423192,2.525,5.225,2.44999999999998,10,0,2.84517040564484,6.25,4.96675702242776,0,1.89394504831274E-07,0.0285131993019927,0.0191999980339227,0.0159264785802366,0.0312425771357846,0.0152116046873117,7.75385109114249,8.27952690065337,5.50640944541259,8.42868968667041,6.12450160771704,7.7408367271381,8.17282912759266,8.16264082711299,6.97750732102432,7.20272492365516,0.547883357102417,2.07316768320924E-05,0.000124233291562688,0.000437847633213571,7.46558108621344,6.66272916272916,1.92215196714224,5.18730753354136E-05,3.61497636959499E-05,8.47759991739503,7.79646957312991,8.17700828976053,2.23824526610819,0,4.66822820254523,0,4.75194820200623,0,3.04448848493133,3.7702847761571,6.97042606516291
2CXO J131733.5+290811,AGN,9.68297795828727,1.49105128478718,5.39375,6.5375,3.8125,10,0,3.71523413242223,6.25,8.18584723438647,0,1.83209807998673E-09,0.00534648114986096,0.0018789298800463,0.00339368288213574,0.00835944582613272,0.00291223571973317,8.75295770738646,9.46936829742287,6.9987634116778,9.08612995613576,8.15712754555198,8.86681201749695,9.44139260504689,3.38935509295749,4.06488192901202,7.69955367629786,0.535431462622817,2.07316768320924E-05,0.000124233291562688,0.000437847633213571,7.46558108621344,6.66272916272916,1.92215196714224,5.18730753354136E-05,3.61497636959499E-05,7.98957012810836,7.40263591978097,4.78475704703958,2.04603094112176,0,0,0,0,0,3.04448848493133,3.7702847761571,5.16040100250627
